APPLOG - 2018-04-24 09:36:44 --> IP:36.89.29.159<br>Browser:Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br>URI:login/cek_login/<br>Data:dermawan|gagal login, salah captcha|
APPLOG - 2018-04-24 09:37:02 --> IP:36.89.29.159<br>Browser:Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br>URI:login/cek_login/<br>Data:dermawan|gagal login salah username atau password|
APPLOG - 2018-04-24 09:37:30 --> IP:36.89.29.159<br>Browser:Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br>URI:login/cek_login/<br>User ID:3<br>Username:Dermawan<br>Role ID:1<br>Data:Dermawan|berhasil login|
APPLOG - 2018-04-24 09:37:31 --> IP:36.89.29.159<br>Browser:Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br>URI:dashboard/<br>User ID:3<br>Username:Dermawan<br>Role ID:1<br>Data:Dermawan|masuk ke halaman dashboard|
APPLOG - 2018-04-24 09:38:00 --> IP:36.89.29.159<br>Browser:Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br>URI:project/<br>User ID:3<br>Username:Dermawan<br>Role ID:1<br>Data:Dermawan|masuk ke halaman list project|
APPLOG - 2018-04-24 09:38:15 --> IP:36.89.29.159<br>Browser:Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br>URI:project/inactive_project/<br>User ID:3<br>Username:Dermawan<br>Role ID:1<br>Data:Dermawan|masuk ke halaman inactive project|
APPLOG - 2018-04-24 09:38:25 --> IP:36.89.29.159<br>Browser:Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br>URI:project/<br>User ID:3<br>Username:Dermawan<br>Role ID:1<br>Data:Dermawan|masuk ke halaman list project|
APPLOG - 2018-04-24 09:38:28 --> IP:36.89.29.159<br>Browser:Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br>URI:project/view_project/P000000032/<br>User ID:3<br>Username:Dermawan<br>Role ID:1<br>Data:Dermawan|masuk ke halaman view project|
APPLOG - 2018-04-24 09:38:40 --> IP:36.89.29.159<br>Browser:Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br>URI:project/<br>User ID:3<br>Username:Dermawan<br>Role ID:1<br>Data:Dermawan|masuk ke halaman list project|
APPLOG - 2018-04-24 09:38:43 --> IP:36.89.29.159<br>Browser:Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br>URI:project/update_project/P000000032/<br>User ID:3<br>Username:Dermawan<br>Role ID:1<br>Data:Dermawan|masuk ke halaman update project|
APPLOG - 2018-04-24 09:38:57 --> IP:36.89.29.159<br>Browser:Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br>URI:project/qt_update/<br>User ID:3<br>Username:Dermawan<br>Role ID:1<br>Data:Dermawan|update data berhasil|P000000032|3|6|3|4|2018-04-24|2018-05-05|<p>ok sip<br></p>|1|2018-04-24 09:38:57|3|0||
APPLOG - 2018-04-24 09:38:57 --> IP:36.89.29.159<br>Browser:Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br>URI:project/<br>User ID:3<br>Username:Dermawan<br>Role ID:1<br>Data:Dermawan|masuk ke halaman list project|
APPLOG - 2018-04-24 09:41:00 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/update_project/P000000032/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman update project|
APPLOG - 2018-04-24 09:41:12 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/qt_update/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|update data berhasil|P000000032|3|6|3|4|2018-04-24|2018-05-05|<p>ok sip sip<br></p>|1|2018-04-24 09:41:12|3|0||
APPLOG - 2018-04-24 09:41:13 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman list project|
APPLOG - 2018-04-24 09:42:35 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>login/logout/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|berhasil logout|
APPLOG - 2018-04-24 09:58:23 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>login/cek_login/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|berhasil login|
APPLOG - 2018-04-24 09:58:24 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>dashboard/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|masuk ke halaman dashboard|
APPLOG - 2018-04-24 09:58:28 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>login/logout/<br><b>User ID:</b>3<br><b>Username:</b>Dermawan<br><b>Role ID:</b>1<br><b>Data:</b>Dermawan|berhasil logout|
