APPLOG - 2018-05-03 15:21:12 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>login/cek_login/<br><b>User ID:</b>5<br><b>Username:</b>Nanda<br><b>Role ID:</b>2<br><b>Data:</b>Nanda|berhasil login|
APPLOG - 2018-05-03 15:21:12 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>dashboard/<br><b>User ID:</b>5<br><b>Username:</b>Nanda<br><b>Role ID:</b>2<br><b>Data:</b>Nanda|masuk ke halaman dashboard|
APPLOG - 2018-05-03 15:21:33 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/<br><b>User ID:</b>5<br><b>Username:</b>Nanda<br><b>Role ID:</b>2<br><b>Data:</b>Nanda|masuk ke halaman list project|
APPLOG - 2018-05-03 15:21:42 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/update_project/P000000029/<br><b>User ID:</b>5<br><b>Username:</b>Nanda<br><b>Role ID:</b>2<br><b>Data:</b>Nanda|masuk ke halaman update project|
APPLOG - 2018-05-03 15:32:11 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/update_project/P000000029/<br><b>User ID:</b>5<br><b>Username:</b>Nanda<br><b>Role ID:</b>2<br><b>Data:</b>Nanda|masuk ke halaman update project|
APPLOG - 2018-05-03 15:32:18 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/qt_update/<br><b>User ID:</b>5<br><b>Username:</b>Nanda<br><b>Role ID:</b>2<br><b>Data:</b>Nanda|update data berhasil|P000000029||7|8|3|2018-04-25|2018-04-30|<p>tes<br></p>|1|2018-05-03 15:32:18|5|0||
APPLOG - 2018-05-03 15:32:18 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/<br><b>User ID:</b>5<br><b>Username:</b>Nanda<br><b>Role ID:</b>2<br><b>Data:</b>Nanda|masuk ke halaman list project|
APPLOG - 2018-05-03 15:32:29 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/update_project/P000000029/<br><b>User ID:</b>5<br><b>Username:</b>Nanda<br><b>Role ID:</b>2<br><b>Data:</b>Nanda|masuk ke halaman update project|
APPLOG - 2018-05-03 15:32:48 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/qt_update/<br><b>User ID:</b>5<br><b>Username:</b>Nanda<br><b>Role ID:</b>2<br><b>Data:</b>Nanda|update data berhasil|P000000029|3|7|8|3|2018-04-25|2018-04-30|<p>tes<br></p>|1|2018-05-03 15:32:48|5|0||
APPLOG - 2018-05-03 15:32:49 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/<br><b>User ID:</b>5<br><b>Username:</b>Nanda<br><b>Role ID:</b>2<br><b>Data:</b>Nanda|masuk ke halaman list project|
APPLOG - 2018-05-03 15:32:57 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/update_project/P000000029/<br><b>User ID:</b>5<br><b>Username:</b>Nanda<br><b>Role ID:</b>2<br><b>Data:</b>Nanda|masuk ke halaman update project|
APPLOG - 2018-05-03 15:33:15 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/add_qt_pic/<br><b>User ID:</b>5<br><b>Username:</b>Nanda<br><b>Role ID:</b>2<br><b>Data:</b>Nanda|pic qt berhasil diassign|P000000029|7|3|8|3|2018-04-25|2018-04-30|<p>tes<br></p>|1|2018-05-03 15:33:15|5|0|
APPLOG - 2018-05-03 15:33:15 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/<br><b>User ID:</b>5<br><b>Username:</b>Nanda<br><b>Role ID:</b>2<br><b>Data:</b>Nanda|masuk ke halaman list project|
APPLOG - 2018-05-03 15:33:21 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/update_project/P000000029/<br><b>User ID:</b>5<br><b>Username:</b>Nanda<br><b>Role ID:</b>2<br><b>Data:</b>Nanda|masuk ke halaman update project|
APPLOG - 2018-05-03 15:33:55 --> <b>IP:</b>36.89.29.159<br><b>Browser:</b>Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0<br><b>URI:</b>project/update_project/P000000029/<br><b>User ID:</b>5<br><b>Username:</b>Nanda<br><b>Role ID:</b>2<br><b>Data:</b>Nanda|masuk ke halaman update project|
